First Name,Last Name,Salary,Years with Company,Postal Code,Email
Mike,Moe,5000,3,N94 3M0,bird@gmail.com
Noah,Ryan,10000,8,N8S 14K,nsmall@hotmail.com
Nina,Keller,9072.02,17,S1T 4E6,azikez@gahew.mr
Chanel ,Steve,11072.02,12,N7T 3E6,chanel@gmail.com
Kate,Noor,5000,23,K8N 5H6,kate@hotmail.com
Samer,Mo,100000,13,J7H 3HY,samer@gmail.com
Heba,Ismail,50000,7,K8Y 3M8,heba.ismail@hotmail.com
Laila,Aly,20000,5,J8Y 3M0,Laila.a@hotmail.com
Joseph,Patton,2629.13,2,M6U 5U7,daafeja@boh.jm
Noah,Moran,8626.96,11,K2D 4M9,guutodi@bigwoc.kw
